optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_stagnation_limit,param_pop_increase_factor
cmaes,stagnation_restart,bbob_f001_i01_d02,2,79.48005319010815,6001,1,0.15196846,30,2
cmaes,stagnation_restart,bbob_f001_i02_d02,2,394.483295172539,6001,1,0.14772102,30,2
cmaes,stagnation_restart,bbob_f001_i03_d02,2,-207.833791872007,6001,1,0.14957037,30,2
cmaes,stagnation_restart,bbob_f001_i04_d02,2,-152.03659553791252,6001,1,0.15025435,30,2
cmaes,stagnation_restart,bbob_f001_i05_d02,2,-24.95465759491333,6001,1,0.14869792,30,2
cmaes,stagnation_restart,bbob_f001_i71_d02,2,183.0100042613262,6001,1,0.14825082,30,2
cmaes,stagnation_restart,bbob_f001_i72_d02,2,183.5207101089306,6001,1,0.14702662,30,2
cmaes,stagnation_restart,bbob_f001_i73_d02,2,-593.839953364326,6001,1,0.148736,30,2
cmaes,stagnation_restart,bbob_f001_i74_d02,2,-999.9937629169237,6001,1,0.14828207,30,2
cmaes,stagnation_restart,bbob_f001_i75_d02,2,-25.309452058674097,6001,1,0.15065738,30,2
cmaes,stagnation_restart,bbob_f001_i76_d02,2,22.2800199735151,6001,1,0.14637689,30,2
cmaes,stagnation_restart,bbob_f001_i77_d02,2,356.140004540584,6001,1,0.15136675,30,2
cmaes,stagnation_restart,bbob_f001_i78_d02,2,-475.69983159401386,6001,1,0.15451685,30,2
cmaes,stagnation_restart,bbob_f001_i79_d02,2,-999.9782546183646,6001,1,0.1484482,30,2
cmaes,stagnation_restart,bbob_f001_i80_d02,2,-41.579822296201456,6001,1,0.14627273,30,2
cmaes,stagnation_restart,bbob_f002_i01_d02,2,30458.63312005262,6001,1,0.15210615,30,2
cmaes,stagnation_restart,bbob_f002_i02_d02,2,993.1871953475558,6001,1,0.15311158,30,2
cmaes,stagnation_restart,bbob_f002_i03_d02,2,5510396.792527179,6001,1,0.14954854,30,2
cmaes,stagnation_restart,bbob_f002_i04_d02,2,45294129.983279794,6001,1,0.14996184,30,2
cmaes,stagnation_restart,bbob_f002_i05_d02,2,-92.4041976196561,6001,1,0.15109733,30,2
cmaes,stagnation_restart,bbob_f002_i71_d02,2,813.9091896027594,6001,1,0.14855623,30,2
cmaes,stagnation_restart,bbob_f002_i72_d02,2,-334.68241134396004,6001,1,0.15014621,30,2
cmaes,stagnation_restart,bbob_f002_i73_d02,2,30820.161512688486,6001,1,0.14885145,30,2
cmaes,stagnation_restart,bbob_f002_i74_d02,2,616996.3846014004,6001,1,0.15263968,30,2
cmaes,stagnation_restart,bbob_f002_i75_d02,2,-422.06718044554634,6001,1,0.14882827,30,2
cmaes,stagnation_restart,bbob_f002_i76_d02,2,3023728.6750161205,6001,1,0.14923887,30,2
cmaes,stagnation_restart,bbob_f002_i77_d02,2,54.59321013995323,6001,1,0.15083087,30,2
cmaes,stagnation_restart,bbob_f002_i78_d02,2,-545.9977203449096,6001,1,0.15014547,30,2
cmaes,stagnation_restart,bbob_f002_i79_d02,2,39.77281958358837,6001,1,0.15062422,30,2
cmaes,stagnation_restart,bbob_f002_i80_d02,2,20519025.218905915,6001,1,0.15463225,30,2
cmaes,stagnation_restart,bbob_f003_i01_d02,2,-453.877443849787,6001,1,0.15296788,30,2
cmaes,stagnation_restart,bbob_f003_i02_d02,2,93.58307587527784,6001,1,0.15553352,30,2
cmaes,stagnation_restart,bbob_f003_i03_d02,2,120.45998180438822,6001,1,0.15223069,30,2
cmaes,stagnation_restart,bbob_f003_i04_d02,2,-0.2604285872679224,6001,1,0.15216068,30,2
cmaes,stagnation_restart,bbob_f003_i05_d02,2,140.8303053963463,6001,1,0.15253967,30,2
cmaes,stagnation_restart,bbob_f003_i71_d02,2,69.19159957669739,6001,1,0.15309355,30,2
cmaes,stagnation_restart,bbob_f003_i72_d02,2,47.92778921465573,6001,1,0.15307078,30,2
cmaes,stagnation_restart,bbob_f003_i73_d02,2,287.02199529576876,6001,1,0.16232477,30,2
cmaes,stagnation_restart,bbob_f003_i74_d02,2,-19.616922738417138,6001,1,0.15135354,30,2
cmaes,stagnation_restart,bbob_f003_i75_d02,2,-51.21463313916768,6001,1,0.15171339,30,2
cmaes,stagnation_restart,bbob_f003_i76_d02,2,-602.9181954614959,6001,1,0.1530937,30,2
cmaes,stagnation_restart,bbob_f003_i77_d02,2,155.31693950482924,6001,1,0.15306242,30,2
cmaes,stagnation_restart,bbob_f003_i78_d02,2,-15.878590094329812,6001,1,0.1501368,30,2
cmaes,stagnation_restart,bbob_f003_i79_d02,2,136.32519697591553,6001,1,0.15292493,30,2
cmaes,stagnation_restart,bbob_f003_i80_d02,2,44.64762699418393,6001,1,0.15175949,30,2
