optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_stagnation_limit,param_pop_increase_factor
maes,stagnation_restart,bbob_f001_i01_d02,2,79.71907416244396,6001,1,0.12293364,15,2
maes,stagnation_restart,bbob_f001_i02_d02,2,421.86212415256927,6001,1,0.12410444,15,2
maes,stagnation_restart,bbob_f001_i03_d02,2,-246.72488219815497,6001,1,0.12627307,15,2
maes,stagnation_restart,bbob_f001_i04_d02,2,-145.08045239043975,6001,1,0.12333545,15,2
maes,stagnation_restart,bbob_f001_i05_d02,2,-15.557603825978045,6001,1,0.12206624,15,2
maes,stagnation_restart,bbob_f001_i71_d02,2,204.94225024348566,6001,1,0.12847982,15,2
maes,stagnation_restart,bbob_f001_i72_d02,2,191.58602631181648,6001,1,0.11995853,15,2
maes,stagnation_restart,bbob_f001_i73_d02,2,-593.7060657174609,6001,1,0.11799831,15,2
maes,stagnation_restart,bbob_f001_i74_d02,2,-942.9828121403162,6001,1,0.1189554,15,2
maes,stagnation_restart,bbob_f001_i75_d02,2,11.718690223901394,6001,1,0.12277487,15,2
maes,stagnation_restart,bbob_f001_i76_d02,2,25.152817581423143,6001,1,0.12372459,15,2
maes,stagnation_restart,bbob_f001_i77_d02,2,inf,6001,1,0.12065503,15,2
maes,stagnation_restart,bbob_f001_i78_d02,2,-467.67295429079917,6001,1,0.12247021,15,2
maes,stagnation_restart,bbob_f001_i79_d02,2,-999.9512251938278,6001,1,0.12212078,15,2
maes,stagnation_restart,bbob_f001_i80_d02,2,-40.77152900151874,6001,1,0.12340532,15,2
maes,stagnation_restart,bbob_f002_i01_d02,2,619938.555844633,6001,1,0.1209396,15,2
maes,stagnation_restart,bbob_f002_i02_d02,2,4752137.759406339,6001,1,0.1250445,15,2
maes,stagnation_restart,bbob_f002_i03_d02,2,169646.95542264264,6001,1,0.12553033,15,2
maes,stagnation_restart,bbob_f002_i04_d02,2,323.0896080208676,6001,1,0.12582219,15,2
maes,stagnation_restart,bbob_f002_i05_d02,2,1542.7032300558428,6001,1,0.12578313,15,2
maes,stagnation_restart,bbob_f002_i71_d02,2,inf,6001,1,0.12536095,15,2
maes,stagnation_restart,bbob_f002_i72_d02,2,32972902.71610996,6001,1,0.12692769,15,2
maes,stagnation_restart,bbob_f002_i73_d02,2,41720532.290973686,6001,1,0.1262501,15,2
maes,stagnation_restart,bbob_f002_i74_d02,2,40483357.26610209,6001,1,0.12476528,15,2
maes,stagnation_restart,bbob_f002_i75_d02,2,12664189.429376312,6001,1,0.12477314,15,2
maes,stagnation_restart,bbob_f002_i76_d02,2,1663800.6249867366,6001,1,0.12373923,15,2
maes,stagnation_restart,bbob_f002_i77_d02,2,63958.91777819981,6001,1,0.12453245,15,2
maes,stagnation_restart,bbob_f002_i78_d02,2,43755596.95465426,6001,1,0.12341064,15,2
maes,stagnation_restart,bbob_f002_i79_d02,2,3966392.2421616768,6001,1,0.1246742,15,2
maes,stagnation_restart,bbob_f002_i80_d02,2,4495034.253495364,6001,1,0.1236368,15,2
maes,stagnation_restart,bbob_f003_i01_d02,2,-302.734779846627,6001,1,0.12596402,15,2
maes,stagnation_restart,bbob_f003_i02_d02,2,124.6519420282176,6001,1,0.12433886,15,2
maes,stagnation_restart,bbob_f003_i03_d02,2,216.31576595808434,6001,1,0.12168466,15,2
maes,stagnation_restart,bbob_f003_i04_d02,2,25.499148330006836,6001,1,0.12224144,15,2
maes,stagnation_restart,bbob_f003_i05_d02,2,153.4088044153857,6001,1,0.12306787,15,2
maes,stagnation_restart,bbob_f003_i71_d02,2,-33.38091851237719,6001,1,0.12293002,15,2
maes,stagnation_restart,bbob_f003_i72_d02,2,103.89389294033856,6001,1,0.12470704,15,2
maes,stagnation_restart,bbob_f003_i73_d02,2,529.4742612738975,6001,1,0.122218,15,2
maes,stagnation_restart,bbob_f003_i74_d02,2,160.48677349218423,6001,1,0.12494523,15,2
maes,stagnation_restart,bbob_f003_i75_d02,2,3357.293267158044,6001,1,0.12444204,15,2
maes,stagnation_restart,bbob_f003_i76_d02,2,-566.6380199185064,6001,1,0.12368241,15,2
maes,stagnation_restart,bbob_f003_i77_d02,2,301.58423809028716,6001,1,0.12475696,15,2
maes,stagnation_restart,bbob_f003_i78_d02,2,48.67046297235224,6001,1,0.12620713,15,2
maes,stagnation_restart,bbob_f003_i79_d02,2,240.57653640224112,6001,1,0.12677321,15,2
maes,stagnation_restart,bbob_f003_i80_d02,2,75.7331252937743,6001,1,0.12634832,15,2
maes,stagnation_restart,bbob_f004_i01_d02,2,65.60171887934774,6001,1,0.12730697,15,2
maes,stagnation_restart,bbob_f004_i02_d02,2,161.71395104477256,6001,1,0.12677676,15,2
maes,stagnation_restart,bbob_f004_i03_d02,2,499.1236136517412,6001,1,0.12613941,15,2
maes,stagnation_restart,bbob_f004_i04_d02,2,44.609709902238556,6001,1,0.12619783,15,2
maes,stagnation_restart,bbob_f004_i05_d02,2,149.02958543681393,6001,1,0.12757939,15,2
maes,stagnation_restart,bbob_f004_i71_d02,2,24.30315563510389,6001,1,0.12818754,15,2
maes,stagnation_restart,bbob_f004_i72_d02,2,96.44596618656047,6001,1,0.12702119,15,2
