optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_restart_interval,param_pop_increase_factor
maes,periodic_restart,bbob_f001_i01_d02,2,inf,30001,1,0.65625,50,2
maes,periodic_restart,bbob_f001_i02_d02,2,inf,30001,1,0.625,50,2
maes,periodic_restart,bbob_f001_i03_d02,2,inf,30001,1,0.625,50,2
maes,periodic_restart,bbob_f001_i04_d02,2,inf,30001,1,0.609375,50,2
maes,periodic_restart,bbob_f001_i05_d02,2,inf,30001,1,0.625,50,2
maes,periodic_restart,bbob_f001_i71_d02,2,inf,30001,1,0.625,50,2
maes,periodic_restart,bbob_f001_i72_d02,2,inf,30001,1,0.609375,50,2
maes,periodic_restart,bbob_f001_i73_d02,2,inf,30001,1,0.609375,50,2
maes,periodic_restart,bbob_f001_i74_d02,2,inf,30001,1,0.625,50,2
maes,periodic_restart,bbob_f001_i75_d02,2,inf,30001,1,0.625,50,2
maes,periodic_restart,bbob_f001_i76_d02,2,inf,30001,1,0.65625,50,2
maes,periodic_restart,bbob_f001_i77_d02,2,inf,30001,1,0.625,50,2
maes,periodic_restart,bbob_f001_i78_d02,2,inf,30001,1,0.640625,50,2
maes,periodic_restart,bbob_f001_i79_d02,2,inf,30001,1,0.640625,50,2
maes,periodic_restart,bbob_f001_i80_d02,2,inf,30001,1,0.625,50,2
maes,periodic_restart,bbob_f002_i01_d02,2,inf,30001,1,0.640625,50,2
maes,periodic_restart,bbob_f002_i02_d02,2,inf,30001,1,0.625,50,2
maes,periodic_restart,bbob_f002_i03_d02,2,inf,30001,1,0.640625,50,2
maes,periodic_restart,bbob_f002_i04_d02,2,inf,30001,1,0.625,50,2
maes,periodic_restart,bbob_f002_i05_d02,2,inf,30001,1,0.625,50,2
maes,periodic_restart,bbob_f002_i71_d02,2,inf,30001,1,0.609375,50,2
maes,periodic_restart,bbob_f002_i72_d02,2,inf,30001,1,0.65625,50,2
maes,periodic_restart,bbob_f002_i73_d02,2,inf,30001,1,0.65625,50,2
maes,periodic_restart,bbob_f002_i74_d02,2,inf,30001,1,0.625,50,2
maes,periodic_restart,bbob_f002_i75_d02,2,inf,30001,1,0.625,50,2
maes,periodic_restart,bbob_f002_i76_d02,2,inf,30001,1,0.625,50,2
maes,periodic_restart,bbob_f002_i77_d02,2,inf,30001,1,0.640625,50,2
maes,periodic_restart,bbob_f002_i78_d02,2,inf,30001,1,0.625,50,2
maes,periodic_restart,bbob_f002_i79_d02,2,inf,30001,1,0.6875,50,2
maes,periodic_restart,bbob_f002_i80_d02,2,inf,30001,1,0.65625,50,2
maes,periodic_restart,bbob_f003_i01_d02,2,inf,30001,1,0.640625,50,2
maes,periodic_restart,bbob_f003_i02_d02,2,inf,30001,1,0.640625,50,2
maes,periodic_restart,bbob_f003_i03_d02,2,inf,30001,1,0.640625,50,2
maes,periodic_restart,bbob_f003_i04_d02,2,inf,30001,1,0.640625,50,2
maes,periodic_restart,bbob_f003_i05_d02,2,inf,30001,1,0.65625,50,2
maes,periodic_restart,bbob_f003_i71_d02,2,inf,30001,1,0.671875,50,2
maes,periodic_restart,bbob_f003_i72_d02,2,inf,30001,1,0.625,50,2
maes,periodic_restart,bbob_f003_i73_d02,2,inf,30001,1,0.640625,50,2
