optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_evaluation_window,param_improvement_threshold,param_pop_increase_factor
maes,threshold_reset,bbob_f001_i01_d02,2,90.29205653065583,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f001_i02_d02,2,401.3921650868572,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f001_i03_d02,2,-238.72211674613482,30001,1,0.65625,10,1e-06,2
maes,threshold_reset,bbob_f001_i04_d02,2,-122.39937553494593,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f001_i05_d02,2,-22.58290144223961,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f001_i71_d02,2,194.3670483519302,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f001_i72_d02,2,219.5355984380779,30001,1,0.65625,10,1e-06,2
maes,threshold_reset,bbob_f001_i73_d02,2,-593.837121456817,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f001_i74_d02,2,-936.9869643095235,30001,1,0.640625,10,1e-06,2
maes,threshold_reset,bbob_f001_i75_d02,2,-24.30395761400581,30001,1,0.65625,10,1e-06,2
maes,threshold_reset,bbob_f001_i76_d02,2,53.12319744179386,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f001_i77_d02,2,367.0213537198397,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f001_i78_d02,2,-456.80681526204273,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f001_i79_d02,2,-921.9851279144528,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f001_i80_d02,2,-29.882512526977262,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f002_i01_d02,2,7720923.420884358,30001,1,0.71875,10,1e-06,2
maes,threshold_reset,bbob_f002_i02_d02,2,8754811.408569198,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f002_i03_d02,2,10697518.6255215,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f002_i04_d02,2,16916919.236183085,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f002_i05_d02,2,1917064.5331914097,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f002_i71_d02,2,3490692.706805557,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f002_i72_d02,2,15055466.518239224,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f002_i73_d02,2,-0.8617051944886107,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f002_i74_d02,2,11311.27690958704,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f002_i75_d02,2,7328108.5515084425,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f002_i76_d02,2,2232.5827087785124,30001,1,0.65625,10,1e-06,2
maes,threshold_reset,bbob_f002_i77_d02,2,inf,30001,1,0.71875,10,1e-06,2
maes,threshold_reset,bbob_f002_i78_d02,2,4600462.780048103,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f002_i79_d02,2,inf,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f002_i80_d02,2,2973.342783195179,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f003_i01_d02,2,-330.5825382898371,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f003_i02_d02,2,202.23459545744106,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f003_i03_d02,2,273.3426455914063,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f003_i04_d02,2,inf,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f003_i05_d02,2,141.35433774697586,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f003_i71_d02,2,177.77929405517233,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f003_i72_d02,2,103.90920449323615,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f003_i73_d02,2,287.4245605317911,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f003_i74_d02,2,8.930121395136283,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f003_i75_d02,2,691.9770888949764,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f003_i76_d02,2,-524.1255221152162,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f003_i77_d02,2,302.19910534920336,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f003_i78_d02,2,30.685252642494273,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f003_i79_d02,2,313.86503869078206,30001,1,0.734375,10,1e-06,2
maes,threshold_reset,bbob_f003_i80_d02,2,83.5728619979711,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f004_i01_d02,2,-451.5507080257942,30001,1,0.71875,10,1e-06,2
maes,threshold_reset,bbob_f004_i02_d02,2,122.20266482566437,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f004_i03_d02,2,198.92059397625684,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f004_i04_d02,2,28.342826593850617,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f004_i05_d02,2,147.0277935122926,30001,1,0.71875,10,1e-06,2
maes,threshold_reset,bbob_f004_i71_d02,2,-14.524595974764026,30001,1,0.65625,10,1e-06,2
maes,threshold_reset,bbob_f004_i72_d02,2,310.8757232732931,30001,1,0.71875,10,1e-06,2
maes,threshold_reset,bbob_f004_i73_d02,2,311.74859255675455,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f004_i74_d02,2,66.91760332900579,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f004_i75_d02,2,-12.320233752692566,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f004_i76_d02,2,-560.5924333390392,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f004_i77_d02,2,206.94891799960746,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f004_i78_d02,2,463.98123630741725,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f004_i79_d02,2,191.5145829403458,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f004_i80_d02,2,55.030455990904365,30001,1,0.71875,10,1e-06,2
maes,threshold_reset,bbob_f005_i01_d02,2,65.84767463430632,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f005_i02_d02,2,733.9063383366833,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f005_i03_d02,2,71.0774379922696,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f005_i04_d02,2,943.67381879718,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f005_i05_d02,2,42.78053620995338,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f005_i71_d02,2,-31.860513874642486,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f005_i72_d02,2,inf,30001,1,0.65625,10,1e-06,2
maes,threshold_reset,bbob_f005_i73_d02,2,1072.658384812098,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f005_i74_d02,2,-120.54742678104294,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f005_i75_d02,2,-44.53373988528298,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f005_i76_d02,2,142.75394757499154,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f005_i77_d02,2,234.47676077316146,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f005_i78_d02,2,-1000.0,30001,1,0.65625,10,1e-06,2
maes,threshold_reset,bbob_f005_i79_d02,2,-21.131540899652393,30001,1,0.65625,10,1e-06,2
maes,threshold_reset,bbob_f005_i80_d02,2,18.719090340736564,30001,1,0.65625,10,1e-06,2
maes,threshold_reset,bbob_f006_i01_d02,2,42.03674704945939,30001,1,0.640625,10,1e-06,2
maes,threshold_reset,bbob_f006_i02_d02,2,75737.82069204659,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f006_i03_d02,2,617792.1243453345,30001,1,0.65625,10,1e-06,2
maes,threshold_reset,bbob_f006_i04_d02,2,172.37992487274997,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f006_i05_d02,2,195687.65395264883,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f006_i71_d02,2,inf,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f006_i72_d02,2,41.6117098265095,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f006_i73_d02,2,61730.50168956006,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f006_i74_d02,2,697.3921994331234,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f006_i75_d02,2,-45.77908072399115,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f006_i76_d02,2,90430.76280044322,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f006_i77_d02,2,1057.8726673110757,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f006_i78_d02,2,6682.340057932667,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f006_i79_d02,2,230619.84956770146,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f006_i80_d02,2,-106.43992687311442,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f007_i01_d02,2,93.45715847183976,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f007_i02_d02,2,106.77657459870025,30001,1,0.640625,10,1e-06,2
maes,threshold_reset,bbob_f007_i03_d02,2,866.3082541625275,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f007_i04_d02,2,24.877769377605794,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f007_i05_d02,2,539.1857083144005,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f007_i71_d02,2,-887.7341073491315,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f007_i72_d02,2,223.01419465845564,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f007_i73_d02,2,-47.19857864305628,30001,1,0.65625,10,1e-06,2
maes,threshold_reset,bbob_f007_i74_d02,2,413.2113964851145,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f007_i75_d02,2,-363.36295257287816,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f007_i76_d02,2,116.043930881285,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f007_i77_d02,2,909.8579056397793,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f007_i78_d02,2,81.4803581006917,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f007_i79_d02,2,703.8445080126509,30001,1,0.703125,10,1e-06,2
